player_id,In Player Stats File,team_id,season,league,player,age,team,position,games,games_started,minutes_played,per,ts_percent,three_attempt_rt,free_throw_rt,orb_percent,drb_percent,trb_percent,ast_percent,stl_percent,blk_percent,tov_percent,usg_percent,offensive_ws,defensive_ws,ws,ws_per48,offensive_bpm,defensive_bpm,bpm,vorp
bantoda01LAC2026,Dalano Banton,LAC2026,2026,NBA,Dalano Banton,26,LAC,PG,2,0,10,27.9,0.75,0,0,0.121,0,0.058,0.372,0.05,0,0.2,0.222,0,0,0,0.228,7.3,5.2,12.5,0
bantoda01BOS2026,Dalano Banton,BOS2026,2026,NBA,Dalano Banton,26,BOS,PG,3,0,15,2.5,0.34,0,0.4,0,0,0,0.166,0,0.068,0.145,0.199,0,0,0,-0.096,-12.2,-4.6,-16.7,-0.1
barlodo01PHI2026,Dominick Barlow,PHI2026,2026,NBA,Dominick Barlow,22,PHI,PF,64,57,1533,13.3,0.599,0.214,0.327,0.085,0.132,0.108,0.072,0.018,0.028,0.109,0.131,2,1.5,3.5,0.109,-1.4,0.2,-1.2,0.3
barneha02SAS2026,Harrison Barnes,SAS2026,2026,NBA,Harrison Barnes,33,SAS,PF,70,52,1825,11.7,0.601,0.626,0.211,0.035,0.081,0.059,0.098,0.012,0.005,0.089,0.148,2.4,2,4.4,0.115,-0.1,0.1,-0.1,0.9
barnesc01TOR2026,Scottie Barnes,TOR2026,2026,NBA,Scottie Barnes,24,TOR,PF,73,73,2469,19.3,0.577,0.203,0.263,0.065,0.193,0.128,0.258,0.021,0.043,0.143,0.235,3.1,4,7.1,0.138,1.8,2.3,4.1,3.8
barnhbr01OKC2026,Brooks Barnhizer,OKC2026,2026,NBA,Brooks Barnhizer,23,OKC,SG,36,0,278,6.9,0.446,0.34,0.12,0.057,0.184,0.123,0.08,0.01,0.014,0.132,0.094,0,0.5,0.4,0.077,-4,1.2,-2.8,-0.1
barrerj01TOR2026,RJ Barrett,TOR2026,2026,NBA,RJ Barrett,25,TOR,SF,51,51,1530,17.3,0.59,0.356,0.343,0.034,0.167,0.1,0.169,0.013,0.009,0.094,0.255,2,1.7,3.7,0.117,1.3,-0.6,0.7,1
bassech013TM2026,Charles Bassey,3TM2026,2026,NBA,Charles Bassey,25,3TM,C,7,0,47,19.7,0.529,0,0.538,0.23,0.232,0.231,0.056,0.021,0.083,0.111,0.163,0.1,0.1,0.1,0.146,0.1,0.8,0.9,0
bassech01MEM2026,Charles Bassey,MEM2026,2026,NBA,Charles Bassey,25,MEM,C,2,0,31,12.7,0.376,0,0.375,0.242,0.282,0.262,0.084,0.015,0.03,0.097,0.138,0,0,0,0.073,-3,-1.4,-4.4,0
bassech01PHI2026,Charles Bassey,PHI2026,2026,NBA,Charles Bassey,25,PHI,C,1,0,5,21.3,1,0,0,0,0,0,0,0,0.188,0,0.084,0,0,0,0.19,2.8,4.1,6.9,0
bassech01BOS2026,Charles Bassey,BOS2026,2026,NBA,Charles Bassey,25,BOS,C,4,0,11,38.9,0.694,0,1,0.303,0.196,0.249,0,0.046,0.184,0.148,0.267,0,0,0.1,0.329,7.6,5.6,13.2,0
battlja01TOR2026,Jamison Battle,TOR2026,2026,NBA,Jamison Battle,24,TOR,SF,55,2,494,10.3,0.633,0.61,0.088,0.043,0.158,0.1,0.06,0.007,0.006,0.119,0.139,0.4,0.5,0.8,0.081,-1.8,-1.1,-2.8,-0.1
batumni01LAC2026,Nicolas Batum,LAC2026,2026,NBA,Nicolas Batum,37,LAC,PF,70,6,1256,8.3,0.596,0.957,0.048,0.021,0.142,0.083,0.064,0.019,0.017,0.132,0.096,0.5,1.1,1.6,0.063,-1.7,0.6,-1.1,0.3
bealbr01LAC2026,Bradley Beal,LAC2026,2026,NBA,Bradley Beal,32,LAC,SG,6,6,121,5.1,0.476,0.396,0.167,0.02,0.028,0.024,0.12,0.012,0,0.149,0.222,-0.2,0,-0.2,-0.071,-6.7,-3.9,-10.6,-0.3
beaucma01PHI2026,MarJon Beauchamp,PHI2026,2026,NBA,MarJon Beauchamp,25,PHI,SF,11,1,187,12.8,0.553,0.616,0.233,0.035,0.148,0.091,0.108,0.023,0.02,0.139,0.211,0,0.2,0.2,0.046,-1,-1,-2,0
berinjo01MIN2026,Joan Beringer,MIN2026,2026,NBA,Joan Beringer,19,MIN,PF,35,1,228,18.8,0.658,0,0.304,0.162,0.155,0.158,0.051,0.01,0.058,0.093,0.159,0.6,0.3,0.9,0.194,-0.9,0.3,-0.7,0.1
beysa01NOP2026,Saddiq Bey,NOP2026,2026,NBA,Saddiq Bey,26,NOP,SF,69,61,2143,17.3,0.581,0.43,0.303,0.058,0.138,0.098,0.122,0.014,0.003,0.06,0.215,4.3,0.9,5.3,0.118,2.4,-1.8,0.6,1.4
bitadgo01ORL2026,Goga Bitadze,ORL2026,2026,NBA,Goga Bitadze,26,ORL,C,57,3,849,19.8,0.699,0.058,0.45,0.149,0.202,0.175,0.123,0.019,0.055,0.129,0.131,2.5,1.4,3.8,0.215,0.7,2,2.7,1
biyombi01SAS2026,Bismack Biyombo,SAS2026,2026,NBA,Bismack Biyombo,33,SAS,C,23,1,133,4.3,0.615,0,0.5,0.041,0.15,0.097,0.045,0.014,0.007,0.291,0.076,0,0.2,0.2,0.059,-7.3,1.2,-6,-0.1
blackan01ORL2026,Anthony Black,ORL2026,2026,NBA,Anthony Black,22,ORL,PG,60,40,1841,13.8,0.552,0.385,0.292,0.026,0.115,0.07,0.187,0.023,0.02,0.131,0.22,0.4,2.2,2.6,0.067,-1.1,0.5,-0.6,0.7
