player_id,team_id,season,league,player,age,team,position,games,games_started,minutes_played,fg_per_100_poss,fga_per_100_poss,fg_percent,made_3_per_100poss,attempted_3p_per_100poss,three_point_percent,made_2p_per_100poss,attempted_2p_per_100poss,two_point_percent,effective_fg_percent,ft_per_100poss,fta_per_100poss,ft_percent,orb_per_100poss,drb_per_100poss,trb_per_100poss,ast_per_100poss,stl_per_100poss,blk_per_100poss,tov_per_100poss,pf_per_100poss,pts_per_100poss,offensive_rtg,defensive_rtg
hayesni01PHO2026,PHO2026,2026,NBA,Nigel Hayes-Davis,31,PHO,SF,27,0,195,3.8,11.6,0.326,0.5,4.1,0.125,3.3,7.6,0.433,0.348,0.5,1,0.5,3,5.3,8.4,1.8,2,0.5,2,4.1,8.6,83,115
hendesc01POR2026,POR2026,2026,NBA,Scoot Henderson,21,POR,PG,25,5,596,9.2,22.2,0.414,3.6,10.5,0.344,5.6,11.7,0.476,0.495,6.1,7.3,0.835,1.2,4.4,5.6,7.8,1.4,0.6,5.3,5.8,28.1,108,117
hendrta012TM2026,2TM2026,2026,NBA,Taylor Hendricks,22,2TM,PF,56,14,1058,6.7,14.9,0.45,2.5,7.7,0.331,4.2,7.2,0.578,0.536,2,3,0.662,2.8,6.5,9.3,2.4,2,1.3,2.2,4.1,18,108,119
hendrta01UTA2026,UTA2026,2026,NBA,Taylor Hendricks,22,UTA,PF,33,6,492,5.6,12.3,0.453,2.3,6.7,0.343,3.3,5.6,0.586,0.547,2.2,3.1,0.719,2.8,6.7,9.5,2.3,1.2,0.8,1.9,3.8,15.6,113,123
hendrta01MEM2026,MEM2026,2026,NBA,Taylor Hendricks,22,MEM,PF,23,8,566,7.7,17.2,0.449,2.8,8.5,0.324,4.9,8.6,0.573,0.529,1.8,3,0.611,2.8,6.4,9.1,2.4,2.6,1.8,2.4,4.3,20,105,115
hepbuch01TOR2026,TOR2026,2026,NBA,Chucky Hepburn,22,TOR,PG,2,0,13,0,22.5,0,0,18.7,0,0,3.7,0,0,0,0,,0,3.7,3.7,7.5,3.7,0,3.7,7.5,0,20,112
herroty01MIA2026,MIA2026,2026,NBA,Tyler Herro,26,MIA,SG,29,24,912,11.6,23.9,0.486,3.8,10,0.381,7.8,13.9,0.562,0.566,4.7,5.1,0.92,0.7,6.2,6.9,5.6,1.1,0.6,2.8,2.5,31.8,117,116
hieldbu012TM2026,2TM2026,2026,NBA,Buddy Hield,33,2TM,SG,49,3,794,8,18.7,0.427,4.1,12.2,0.333,3.9,6.4,0.604,0.536,1.8,2.3,0.811,1.6,5.2,6.9,4.1,2.3,0.5,2.9,3.5,21.8,107,115
hieldbu01GSW2026,GSW2026,2026,NBA,Buddy Hield,33,GSW,SG,44,3,768,8.2,18.9,0.433,4.2,12.3,0.344,4,6.6,0.6,0.545,1.7,2.1,0.794,1.6,5.2,6.8,4.2,2.3,0.6,2.6,3.5,22.3,109,115
hieldbu01ATL2026,ATL2026,2026,NBA,Buddy Hield,33,ATL,SG,5,0,26,1.8,12.7,0.143,0,10.9,0,1.8,1.8,1,0.143,5.5,5.5,1,1.8,7.3,9.1,3.6,1.8,0,9.1,1.8,9.1,53,115
highsha01PHO2026,PHO2026,2026,NBA,Haywood Highsmith,29,PHO,SF,6,0,80,6.2,12.3,0.5,4.9,8,0.615,1.2,4.3,0.286,0.7,3.1,3.7,0.833,3.7,4.3,8,4.3,2.5,0,0,4.9,20.4,167,115
hinsobl01UTA2026,UTA2026,2026,NBA,Blake Hinson,26,UTA,SF,11,1,214,8.8,17,0.519,6.4,12.6,0.509,2.4,4.4,0.55,0.708,1.8,2.6,0.667,1.8,3.5,5.3,2,0.2,0.4,0.4,4.6,25.8,140,128
holidaa01HOU2026,HOU2026,2026,NBA,Aaron Holiday,29,HOU,PG,50,1,667,6.8,17,0.403,4.3,11.2,0.383,2.6,5.8,0.442,0.529,2.4,2.8,0.865,0.7,2.8,3.5,3.8,1.7,0.3,2.6,4.7,20.3,114,117
holidjr01POR2026,POR2026,2026,NBA,Jrue Holiday,35,POR,PG,48,46,1388,9.8,21.5,0.458,4.2,10.9,0.385,5.7,10.6,0.532,0.555,2.7,3.2,0.83,2.2,5.2,7.3,9.9,1.8,0.2,4.5,2.4,26.6,117,117
